sigma,true_class,overlap_W_IH_vs_target,overlap_W_IMG_self_consistency
0.5,9,0.24666666666666667,0.52
0.5,1,0.21333333333333335,0.44
0.5,5,0.2866666666666667,0.4666666666666667
0.5,1,0.31333333333333335,0.3466666666666667
0.5,1,0.18,0.4533333333333333
0.5,1,0.16,0.42
0.5,9,0.1,0.56
0.5,6,0.29333333333333333,0.5666666666666667
0.5,9,0.23333333333333334,0.5466666666666666
0.5,5,0.5,0.49333333333333335
0.5,4,0.12666666666666668,0.4266666666666667
0.5,7,0.7066666666666667,0.46
0.5,6,0.46,0.5666666666666667
0.5,5,0.05333333333333334,0.5533333333333333
0.5,3,0.24666666666666667,0.5666666666666667
0.5,6,0.16666666666666666,0.44666666666666666
0.5,8,0.02666666666666667,0.4866666666666667
0.5,1,0.41333333333333333,0.32666666666666666
0.5,8,0.10666666666666667,0.5333333333333333
0.5,8,0.05333333333333334,0.44666666666666666
0.5,6,0.8133333333333334,0.37333333333333335
0.5,6,0.66,0.5533333333333333
0.5,8,0.02,0.41333333333333333
0.5,8,0.05333333333333334,0.5333333333333333
0.5,9,0.32,0.49333333333333335
0.5,1,0.16666666666666666,0.48
0.5,6,0.8133333333333334,0.49333333333333335
0.5,9,0.11333333333333333,0.4533333333333333
0.5,4,0.16,0.48
0.5,7,0.8,0.41333333333333333
0.5,8,0.03333333333333333,0.4866666666666667
0.5,8,0.5133333333333333,0.5133333333333333
0.5,2,0.03333333333333333,0.44666666666666666
0.5,2,0.4066666666666667,0.41333333333333333
0.5,7,0.28,0.5
0.5,8,0.06,0.4533333333333333
0.5,2,0.0,0.52
0.5,1,0.2866666666666667,0.36
0.5,1,0.3333333333333333,0.44666666666666666
0.5,5,0.6533333333333333,0.5266666666666666
0.5,6,0.05333333333333334,0.5133333333333333
0.5,9,0.25333333333333335,0.44666666666666666
0.5,5,0.06666666666666667,0.49333333333333335
0.5,9,0.7,0.5533333333333333
0.5,9,0.09333333333333334,0.44666666666666666
0.5,8,0.04666666666666667,0.48
0.5,9,0.22666666666666666,0.47333333333333333
0.5,9,0.22666666666666666,0.42
0.5,1,0.26,0.4266666666666667
0.5,9,0.5466666666666666,0.5
0.5,7,0.2733333333333333,0.5266666666666666
0.5,7,0.38,0.4533333333333333
0.5,6,0.4,0.44
0.5,5,0.14,0.48
0.5,7,0.19333333333333333,0.58
0.5,8,0.05333333333333334,0.49333333333333335
0.5,1,0.16,0.42
0.5,2,0.05333333333333334,0.5333333333333333
0.5,4,0.21333333333333335,0.49333333333333335
0.5,7,0.19333333333333333,0.5
0.5,1,0.3333333333333333,0.4533333333333333
0.5,6,0.04666666666666667,0.4066666666666667
0.5,2,0.1,0.5466666666666666
0.5,1,0.3933333333333333,0.38
0.5,9,0.16,0.44
0.5,3,0.14,0.5466666666666666
0.5,9,0.08,0.3933333333333333
0.5,2,0.0,0.5466666666666666
0.5,8,0.16,0.46
0.5,1,0.3333333333333333,0.4
0.5,8,0.02666666666666667,0.5266666666666666
0.5,9,0.18666666666666668,0.47333333333333333
0.5,6,0.18,0.5
0.5,1,0.49333333333333335,0.44
0.5,5,0.19333333333333333,0.54
0.5,7,0.5533333333333333,0.38666666666666666
0.5,4,0.04666666666666667,0.41333333333333333
0.5,2,0.006666666666666667,0.4866666666666667
0.5,9,0.09333333333333334,0.4533333333333333
0.5,8,0.02666666666666667,0.48
0.5,9,0.16666666666666666,0.46
0.5,6,0.34,0.5266666666666666
0.5,5,0.07333333333333333,0.5466666666666666
0.5,4,0.2866666666666667,0.44
0.5,2,0.03333333333333333,0.43333333333333335
0.5,5,0.48,0.54
0.6,3,0.30666666666666664,0.46
0.6,7,0.22666666666666666,0.48
0.6,1,0.31333333333333335,0.38
0.6,9,0.11333333333333333,0.49333333333333335
0.6,6,0.44,0.5066666666666667
0.6,3,0.3333333333333333,0.4666666666666667
0.6,2,0.6533333333333333,0.4666666666666667
0.6,7,0.03333333333333333,0.4066666666666667
0.6,5,0.4,0.41333333333333333
0.6,6,0.11333333333333333,0.5
0.6,3,0.24,0.42
0.6,1,0.14,0.38666666666666666
0.6,9,0.08,0.5466666666666666
0.6,4,0.03333333333333333,0.4066666666666667
0.6,3,0.19333333333333333,0.34
0.6,2,0.32666666666666666,0.41333333333333333
0.6,7,0.20666666666666667,0.36666666666666664
0.6,3,0.24666666666666667,0.4666666666666667
0.6,8,0.04666666666666667,0.43333333333333335
0.6,1,0.20666666666666667,0.47333333333333333
0.6,3,0.23333333333333334,0.46
0.6,1,0.2,0.38666666666666666
0.6,5,0.013333333333333334,0.48
0.6,2,0.08,0.3933333333333333
0.6,8,0.08666666666666667,0.54
0.6,6,0.54,0.48
0.6,4,0.28,0.4866666666666667
0.6,5,0.22666666666666666,0.4533333333333333
0.6,9,0.14666666666666667,0.5266666666666666
0.6,5,0.18,0.48
0.6,2,0.013333333333333334,0.3933333333333333
0.6,2,0.14,0.3933333333333333
0.6,7,0.28,0.49333333333333335
0.6,5,0.17333333333333334,0.36666666666666664
0.6,7,0.16,0.4
0.6,1,0.11333333333333333,0.4266666666666667
0.6,1,0.4066666666666667,0.4666666666666667
0.6,5,0.25333333333333335,0.4666666666666667
0.6,5,0.12,0.5466666666666666
0.6,8,0.04666666666666667,0.4266666666666667
0.6,6,0.15333333333333332,0.5
0.6,4,0.22,0.4
0.6,5,0.49333333333333335,0.38666666666666666
0.6,5,0.47333333333333333,0.44666666666666666
0.6,3,0.18666666666666668,0.36666666666666664
0.6,7,0.5066666666666667,0.4266666666666667
0.6,6,0.6266666666666667,0.4
0.6,3,0.1,0.47333333333333333
0.6,2,0.04,0.43333333333333335
0.6,9,0.24666666666666667,0.44666666666666666
0.6,5,0.14,0.43333333333333335
0.6,3,0.16,0.52
0.6,9,0.3,0.43333333333333335
0.6,9,0.12,0.4266666666666667
0.6,7,0.14,0.41333333333333333
0.6,6,0.4266666666666667,0.46
